	Google Before	Google After	TER
195	보험사와의 모든 거래는 연금 제도가 PPF(연금 보호 기금) 구명 보트로 이전되면서 촉발된 10%보다 더 완만한 지불금 삭감을 수반할 것입니다.	보험사와의 모든 거래는 연금 방지 기금 (PPF) 구명정으로 연금 방지 펀드 (PPF) 구명정으로 옮겨지는 10 %보다 훨씬 겸손한 절단을 포함 할 것입니다.	0.7727
196	논의는 매우 초기 단계에 있으며 - 성공하더라도 - Thomas Cook 계획이 PPF의 평가를 통과할 때까지 거래로 이어지지 않을 것입니다.	토론은 매우 예비적인 단계에 있으며, 성공한 경우에도 Thomas Cook Schemes가 PPF의 평가를 통해 이루어질 때까지 거래를 초래할 수 없습니다.	0.6842
197	토마스 쿡 사장, 붕괴 원인 조사에 직면	Thomas Cook 보스가 붕괴 된 것으로 인도하는 것에 대한 조사를 직면합니다.	0.9091
198	그 기간은 최대 2년이 걸릴 수 있으며, 제도가 PPF에 진입하면 약 10,000명의 미래 연금 수급자가 지불금을 10% 삭감하게 될 것입니다.	그 기간은 최대 2 년이 걸릴 수 있으며, 계획이 PPF에 들어가는 경우 대략 10,000 명의 미래의 연금 수급자가 10 %까지 절단됩니다.	0.619
199	"소식통에 따르면 다수의 연금 위험 이전 전문가와 새로운 ""수퍼펀드"" 통합 수단 중 하나 이상이 Thomas Cook의 이사와 거래에 대해 논의 중이라고 합니다."	"소식통은 많은 연금 위험 이체 전문가뿐만 아니라 새로운 ""Superfund""통합 차량 중 적어도 하나가 거래에 관한 Thomas Cook의 관리위원회와의 대화를 겪었습니다."	0.85
200	회원의 혜택을 확보하기 위한 수탁자들의 노력에 대한 소식은 영국에서 가장 오래된 여행사가 무역을 중단하고 국제 송환 프로그램을 촉발하고 수천 명의 실직을 촉발한 지 나흘 만에 나온 것입니다.	수탁자의 혜택을 보장하려는 수탁자의 뉴스는 영국의 가장 오래된 투어 운영자가 거래를 중단하고 국제 송환 프로그램을 촉발시키고 수천의 일자리 손실을 유발 한 후 4 일 후에옵니다.	0.84
201	Thomas Cook의 파산 위기는 이사회 구성원, 정부 장관 및 감사인 모두가 파산하기 몇 달 전에 자신의 행동을 설명하라는 요구에 직면하면서 쓰라린 비난 게임을 촉발했습니다.	토마스 요리사의 파산에 대한 토마스 요리사는 이사회 회원, 정부 장관 및 감사원이 모두 붕괴되기 전 개월 만에 그들의 행동을 설명하기위한 요구에 직면 한 쓴 비난 게임을 촉발 시켰습니다.	0.7143
202	최근 수치에 따르면 회사의 4개 연금 계획은 PPF 기준으로 1억 파운드의 잉여금으로 자금이 충분합니다.	이 회사의 4 개의 연금 제도는 최신 인물에 따라 PPF 기준으로 £ 100m 잉여금을 갖추고 있습니다.	0.875
203	전체적으로 그들은 약 15억 파운드 상당의 자산을 보유하고 있습니다.	집합 적으로, 그들은 £ 1.5 억 파운드의 자산을 개최합니다.	0.8889
204	그러나 지난달 Sky News에서 밝혔듯이 Thomas Cook이 제안한 구제 거래에서 더 나은 조건을 요구하는 수탁자들의 요구는 거래를 성사시키려는 노력을 더욱 복잡하게 만들었습니다.	그러나 지난 달에 스카이 뉴스가 밝혀진 것처럼 Thomas Cook의 제안 된 구조 거래에서 더 나은 조건에 대한 요구 사항은 거래를 통한 거래를 얻으려는 노력에 대한 추가 합병증을 추가했습니다.	0.7857
205	Thomas Cook의 청산은 178년 간의 용제 거래에 종지부를 찍었고, 정부의 파산 서비스, 회계 감시 기관 및 영향력 있는 MP 위원회의 조사가 시작되었습니다.	Thomas Cook의 청산은 178 년의 솔벤트 거래를 끝내고 정부의 파괴 서비스, 회계 워치 독 및 MPS의 영향력위원회의 문의를 촉구합니다.	0.7895
206	장관들은 위기를 해결하기 위해 태스크포스를 설립했으며, 이로 인해 채권자들은 파산 후 자산 매각으로 인한 수익이 거의 발생하지 않았습니다.	장관들은 자산 사후의 자산 판매로부터 빈약 한 채권자가 돌아 오는 채권자가 남아있는 위기를 해결하기 위해 태스크 포스를 설립했습니다.	0.8333
207	현재까지 Thomas Cook의 해외 영국 고객 중 절반 미만이 비행기를 타고 귀국했습니다.	지금까지 Thomas Cook의 해외 영국 고객의 절반이 밖에 없었습니다.	0.8889
208	파산은 Thomas Cook이 2억 파운드의 자금 수요를 줄이도록 대출 기관에 최후의 탄원서를 보낸 지 몇 시간 만에 발생했습니다.	Thomas Cook은 200m 자금 조달 수요를 줄이기 위해 렌더스에게 Lenders를 발행 한 후 그 붕괴가 왔습니다.	1.0
209	Thomas Cook에게 무엇이 그렇게 잘못 되었습니까?	토마스 요리사에게는 그렇게 잘못 되었습니까?	0.6
210	일요일 저녁에 거래 없이 끝난 회담은 반년 동안 15억 파운드의 손실과 거래 악화로 인해 10억 파운드 이상의 새로운 자금을 조달해야 했던 회사에게 미친듯이 마지막 주사위를 던졌습니다.	일요일 저녁에 거래가 없었지 않은 회담은 £ 15 억달의 반파 손실과 거래를 악화시키는 새로운 자금 조달에 1 억 파운드 이상을 추구해야만하는 회사의 광란의 마지막 던지를 대표했습니다.	0.8077
211	Thomas Cook은 1841년에 32세의 캐비닛 제작자이자 전 침례교 목사에 의해 설립되었습니다. 그는 레스터에서 러프버러까지 1실링의 기차 여행을 제공하기 시작했습니다.	Thomas Cook은 1841 년에 Leicester에서 실링을 위해 Loughborough 로의 1 일간의 레일 여행을 제공하기 시작한 32 세의 캐비닛 메이커와 전세 획득자 설교자가 1841 년에 설립되었습니다.	0.88
212	그로부터 3년 전 창립 175주년을 맞이하여 세계 최대의 휴가 회사 중 하나로 성장했습니다.	거기에서 3 년 전에 175 주년을 기념하여 세계 최대의 휴일 회사 중 하나가되었습니다.	0.7692
213	"PPF 대변인은 ""토마스 쿡의 청산과 같은 지급불능 사건이 바로 PPF가 설립된 이유""라고 말했다."	"PPF 대변인은 ""토마스 요리사의 청산과 같은 파산 이벤트가 PPF가 설정된 이유는 정확히 있습니다."""	0.6154
214	"""우리는 확정 급여 연금 제도에 속한 회원들의 재정적 미래를 보호하기 위해 여기에 있으며 우리가 그들을 보호하기 위해 여기 있다는 것을 알고 위안을 받아야 합니다."""	"""우리는 정의 된 혜택 연금 제도에 소속 된 회원들의 금융 선물을 보호하기 위해 여기에 있으며, 우리가 그들을 보호하기 위해 우리가 여기에있는 것을 알고있는 위로를 가져 가야합니다."""	0.5385
215	Thomas Cook의 연금 수탁자 대변인은 금요일에 논평을 거부했습니다.	Thomas Cook의 연금 수탁자를위한 대변인은 금요일에 댓글을 달았습니다.	0.375
216	기후에 대한 행동을 요구하기 위해 행진하는 전 세계 학교 파업	세계 전세계의 학교 스트라이커 기후에 대한 조치를 요구하는 행진	1.0
217	어제 밤 Who STOP 콘서트: 금요일과 일요일은 CANCELED를 보여줍니다.	어젯밤 콘서트를 멈추는 사람 : 금요일과 일요일 쇼가 취소되었습니다.	0.8889
218	록의 전설 The Who가 미국 주요 투어를 하고 있습니다.	록 전설은 누가 주요 미국 여행에 있습니다.	1.0
219	텍사스주 휴스턴에서 로저 달트리는 공연을 반도 채 안 되어 취소해야 했다.	텍사스의 휴스턴에서 Roger Daltrey는 중간보다 적은 콘서트를 끊을 수있었습니다.	1.1111
220	"75세의 그는 실망한 청중에게 ""내가 앞서 있는 동안 그만둬야 한다고 생각합니다.""라고 말했습니다."	"75 세의 노인들은 실망한 관객에게 ""내가 앞으로 나아가는 동안 나는 그만둬야한다고 생각합니다."""	0.8333
221	밴드는 이미 8곡을 연주했지만 언젠가는 다른 공연을 위해 노력하고 돌아올 것을 약속했습니다.	밴드는 이미 8 곡을 수행했지만 미래에 언젠가 다른 쇼 쇼를 위해 노력하고 반환 할 것을 약속했습니다.	0.5625
222	무대에서 모든 것이 어떻게 전개되었는지 비디오를보십시오.	무대에서 어떻게 전개되는지에 대한 비디오를보십시오.	0.8
223	1982년 클래식 트랙 Eminence Front를 연주한 후 Daltrey는 그만뒀습니다.	클래식 1982 년 트랙 프론트를 재생 한 후 Daltrey는 그만 둔다고 불렀습니다.	0.75
224	그는 보컬 문제로 어려움을 겪었고 분명히 외과 의사의 엄격한 지시를 받고 있습니다.	그는 보컬 문제로 고생하고 외과 의사의 엄격한 지침을 받았습니다.	0.6667
225	영국 스타는 군중에게 쇼를 계속할 수 없다고 말했습니다.	영국 스타는 그가 쇼와 함께 갈 수 없었던 군중들에게 말했다 :	0.7273
226	"""내가 당신을 위해 하는 일을 계속 하면 나 자신을 손상시킬 것입니다."	내가 당신을 위해하고있는 일을하려고 노력하고 있다면 나는 자신을 손상시킬 것입니다.	0.7
227	내가 앞서 있는 동안 그만둬야 할 것 같아...	내가 앞으로 내가 그만둬야 할 것 같아.	0.5714
228	"지난번에 한 달 동안 병원에 입원했고 다시는 가지 않을 것입니다. 죄송합니다."""	마지막으로, 나는 한 달 동안 병원에서 끝났고 나는 거기에 다시 가지 않을 것입니다. 죄송합니다.	0.5714
229	Pet Townshend는 청중에게 무슨 일이 일어나고 있는지 설명했습니다.	"Pete Townshend는 청중에게 무슨 일이 일어나고 있는지 설명했습니다. ""그는 더 이상 할 수없는 것처럼 들리며 두려워합니다 ..."""	0.5882
230	밴드는 원래 로저 없이 나머지 세트를 해결하려고 할 것이라고 제안하면서 무대를 떠났습니다.	밴드는 무대를 떠났습니다. 원래는 Roger가없는 세트의 나머지 부분을 운동하려고 노력할 것이라고 제안합니다.	0.6667
231	"그가 돌아왔을 때 Townsend는 ""정말, 정말 죄송합니다."	"그가 돌아 왔을 때, 타운센드는 ""나는 정말로 정말로 미안해."	0.8889
232	로저는 이제 실제로 말을 할 수 없습니다.	"Roger는 실제로 지금 말할 수 없습니다. """	0.7143
233	"""분명 공연 전에 그는 의사를 만났고 이번 투어를 통해 노래를 정말 잘 불렀습니다."	"""분명히 쇼 앞에서, 그는 의사를 보았고, 당신도 알고 있으며, 그는이 투어를 통해 그렇게 훌륭하게 노래하고 있습니다."	0.75
234	무슨 일이 일어나고 있는지 모르겠습니다.	나는 f ***가 무슨 일이 일어나고 있는지 모른다.	0.5
235	그는 그의 게임의 정상에 있었다.	"그는 그의 게임의 맨 위에 왔습니다. """	0.5714
236	"""오늘 밤 이런 일이 일어나서 정말 죄송합니다..."	"""나는 오늘 밤에 너에게 일어난이 일이 정말로 미안해 ..."	0.8889
237	"이것은 로저의 쇼이고 그의 몸 상태가 좋지 않기 때문에 의미가 있는 것을 조합하려고 하는 것은 별로 의미가 없다고 생각합니다."""	"나는 이것이 로저스의 쇼이기 때문에 어떤 의미가 있기 때문에 어떤 의미가 있기 때문에 어떤 의미가 있기 때문에 어떤 의미가 있는지 생각하지 않으며 좋은 모양이 아닙니다. """	0.8846
238	관중들은 74세의 노인이 무슨 일이 있었는지, 그리고 어떻게 밴드가 공연에 대한 그들의 약속을 존중하기 위해 돌아오기를 희망하는지 설명할 때 완전히 지지했습니다.	군중은 완전히지지했고, 74 세의 일이 일어난 일과 밴드가 쇼에 대한 그들의 헌신을 존중하기 위해 어떻게 되돌아 갔는지를 희망하는 것처럼 74 세의 응원했습니다.	0.7273
239	"타운센드가 말했다. ""최대한 빨리 복귀 날짜를 공개할 것입니다."	"타운센드는 말했다; ""우리는 가능한 한 빨리 돌아 오는 날짜를 게시 할 것입니다."	0.75
240	한가지 설명하자면...	한 가지를 설명하겠습니다 ...	1.0
241	우리는 하루만 쉬고 있습니다.	우리는 하루 만에 하루 만 일합니다.	0.8333
242	로저의 성대 외과 의사가 쉬는 날이라고 해서...	"이것은 Roger의 보컬 외과 의사가 하루를 보내고 있다고 주장하기 때문입니다 ... """	0.8333
243	"""장담컨데 우리는 돌아올 것이고 당신의 티켓을 존중할 것입니다."	"""나는 당신에게 우리가 돌아올 것이고 우리는 당신의 티켓을 존중할 것입니다."	0.4
244	"많이 사랑하고 실망시켜드려 죄송하다""고 말했다."	"나는 너를 너무 사랑해. 그리고 너를 실망 시켜서 미안해. """	1.0
245	쇼가 끝난 후 댈러스와 덴버에서 예정된 금요일과 일요일 밤 콘서트는 취소되었습니다.	쇼를 따르면 Dallas와 Denver의 다가오는 금요일과 일요일의 밤 콘서트가 취소되었습니다.	0.8
246	그들의 다음 쇼는 10월 9일 샌프란시스코에서 열립니다.	그들의 다음 쇼는 샌프란시스코에서 10 월 9 일에 있습니다.	0.6667
247	밴드는 2020년 3월 16일 맨체스터에서 영국 투어를 시작합니다.	밴드는 맨체스터 N 3 월 16 일 2020 년 3 월 16 일에 영국 투어를 열 것입니다.	0.8235
248	미국 사망자는 스코틀랜드 금지가 vaping 및 전자 담배 광고에 이어질 수 있습니다.	미국 사망자는 스코틀랜드 금지가 vaping 및 전자 담배 광고에 이어질 수 있습니다.	0.0
249	전자 담배 및 vaping 제품에 대한 광고 금지는 장관이 고려하고 있습니다.	전자 담배 및 vaping 제품에 대한 광고 금지는 장관이 고려하고 있습니다.	0.0
250	"첫 번째 장관은 ""앞으로의 개월""에서 움직임에 대한 상담이 일어날 것이라는 것을 확인했습니다."	"첫 번째 장관은 ""앞으로의 개월""에서 움직임에 대한 상담이 일어날 것이라는 것을 확인했습니다."	0.0
251	"니콜라 철갑 상어론은 증거가 그러한 제품의 판매를 통해 더 많은 움직임을 지원한다면 그녀의 정부는 ""주저하지 않겠다""라고 말합니다."	"니콜라 철갑 상어론은 증거가 그러한 제품의 판매를 통해 더 많은 움직임을 지원한다면 그녀의 정부는 ""주저하지 않겠다""라고 말합니다."	0.0
252	그것은 vaping 관련 질병이 두 명의 삶을 보장했고, 총 사망자를 11로 가져 오는 것이 었습니다.	그것은 vaping 관련 질병이 두 명의 삶을 보장했고, 총 사망자를 11로 가져 오는 것이 었습니다.	0.0
253	일반적으로 니코틴, 물, 용제 및 맛으로 만들어진 믹스를 흡입하는 것이 포함 된 vaping은 흡연에 도움이되는 대안으로 볼 수 있지만 그 안전은 여전히 ​​완전히 알려져 있지 않습니다.	일반적으로 니코틴, 물, 용제 및 맛으로 만들어진 믹스를 흡입하는 것이 포함 된 vaping은 흡연에 도움이되는 대안으로 볼 수 있지만 그 안전은 여전히 ​​완전히 알려져 있지 않습니다.	0.0
254	그러나 미국에서는 흡연 전자 담배 후에 500 명이 넘는 사람들이 신비한 폐 질환으로 아프다고 알려져 있습니다.	그러나 미국에서는 흡연 전자 담배 후에 500 명이 넘는 사람들이 신비한 폐 질환으로 아프다고 알려져 있습니다.	0.0
255	당국자들은 지난 주에 수백 가지의 추가 사례가 단독으로보고되었다고 말했다.	당국자들은 지난 주에 수백 가지의 추가 사례가 단독으로보고되었다고 말했다.	0.0
256	플로리다와 조지아의 첫 번째 사망은 화요일과 수요일에 발표되었습니다.	플로리다와 조지아의 첫 번째 사망은 화요일과 수요일에 발표되었습니다.	0.0
257	현재 38 명의 주정부는 질병의 사례를 기록하고 8 개 주에서 잃어버린 것입니다.	현재 38 명의 주정부는 질병의 사례를 기록하고 8 개 주에서 잃어버린 것입니다.	0.0
258	"대부분의 환자는 THC가 들어있는 제품을 사용한 역사를보고했지만, 수요일에 조지아에서 사망 한 환자는 ""무거운 니코틴 vaping""만보 고 한 대마초에있는 환자를보고했습니다."	"대부분의 환자는 THC가 들어있는 제품을 사용한 역사를보고했지만, 수요일에 조지아에서 사망 한 환자는 ""무거운 니코틴 vaping""만보 고 한 대마초에있는 환자를보고했습니다."	0.0
259	"질병 통제 및 예방 센터 (CDC)는 수수께끼 질환의 원인을 조사한 100 명이 넘는 관리가 있으며, 특히 수정되거나 구입 한 경우 ""거리에서 구입 한 경우"""	"질병 통제 및 예방 센터 (CDC)는 수수께끼 질환의 원인을 조사한 100 명이 넘는 관리가 있으며, 특히 수정되거나 구입 한 경우 ""거리에서 구입 한 경우"""	0.0
260	"첫 번째 장관은 스코틀랜드 정부가 우리와 다른 곳에서 모니터리가있는 것으로 확인되었으며, ""Vaping에 기인 한 삶의 상실에 따라""가깝게 ""면밀히""가깝게되었습니다."	"첫 번째 장관은 스코틀랜드 정부가 미국과 다른 곳에서 개발을 모니터링하고있다. ""Vaping에 기인 한 삶의 상실에 따라""가깝게 ""가깝게""가깝게 """	0.3333
261	그녀는 데이트 할 것이라고 지적했다. 그들은 유럽에서보고되는 vaping에 기인 한 사망자의 사례를 보지 못했다는 것을 지적했다.	그녀는 데이트 할 것이라고 지적했다. 그들은 유럽에서보고되는 vaping에 기인 한 사망자의 사례를 보지 못했다는 것을 지적했다.	0.0
262	"""우리의 접근 방식은 사전 예방 적이였습니다. 이는 스코틀랜드는 이미 증기 제품으로 유럽에서 가장 엄격한 규제적인 접근 방식을 이미 취한 이유입니다.""라고 그녀는 말했습니다."	"""우리의 접근 방식은 사전 예방 적이였습니다. 이는 스코틀랜드는 이미 증기 제품으로 유럽에서 가장 엄격한 규제적인 접근 방식을 이미 취한 이유입니다.""라고 그녀는 말했습니다."	0.0
263	"""유럽의 담배 제품 지침은 전자 담배의 광고를 제한하고 E- 액체가 유해한 것으로 알려진 성분을 함유 할 수 없도록합니다."	"""유럽의 담배 제품 지침은 전자 담배의 광고를 제한하고 E- 액체가 해로운 것으로 알려진 성분을 함유 할 수 없도록합니다."""	0.1111
264	"""지침은 또한 e- 액체의 니코틴의 농도를 제한합니다."	"""지침은 또한 e-liquids의 니코틴의 농도를 제한합니다."""	0.5
265	"""스코틀랜드에서는 소매 레지스터와 필수 연령 확인 제도를 도입했으며 모든 이사회 지역에서 소매 업체가 규정을 준수하는지 확인하기 위해 모든 협의회 지역에 거래 표준 부서를 지원했습니다."	"""스코틀랜드에서는 소매 레지스터와 필수 연령 확인 계획을 도입했으며 모든 이사회 지역에서 소매 업체가 규정을 준수하는지 확인하기 위해 모든 협의회 지역에서 거래 표준 부서를 지원했습니다."""	0.125
266	"""앞으로 몇 달 동안 우리는 증기 제품의 광고 및 홍보에 대한 완전한 금지를 도입 할 것입니다."""	"""앞으로 몇 달 동안 우리는 증기 제품의 광고 및 홍보에 대한 완전한 금지를 도입 할 것입니다."""	0.0
267	"그녀는 ""스트레스를받는 것이 중요하고, 우리 모두가 비교적 새로운 것을 기억하는 것이 중요하며, 그러므로 그 영향은 계속 연구되고 있습니다."	"그녀는 ""스트레스를받는 것이 중요하고, 우리 모두가 비교적 새로운 것을 기억하는 것이 중요하며, 그러므로 그 영향은 계속 연구되고 있습니다."	0.0
268	우리는 그 영향이 무엇인지 아직 완전히 이해하지 못합니다. 그래서 우리가 취한 접근 방식은 매우 신중했습니다.	"우리는 그 영향이 무엇인지 아직 완전히 이해하지 못합니다. 우리가 취한 접근 방식은 매우 신중했습니다. """	0.1333
269	"""이유는 스코틀랜드에서 전자 담배 사용이 여전히 비교적 낮은 이유 일 것입니다."	"""이것은 아마도 전자 담배가 스코틀랜드에서 상대적으로 낮아지는 이유 일 것입니다."""	0.8
270	"""우리는 사람들이 잠재적 인 해를 입히는 것을 보장하는 데 필요한 모든 단계를 취할 수있는 최선의 증거를 따르고 있습니다."	"""우리는 사람들이 잠재적 인 해를 끼치는 것으로 보호되도록하는 데 필요한 모든 단계를 취할 수있는 최선의 증거를 따르고 있습니다."""	0.2222
271	"""우리가 이미 해당 제품에 대한 가장 엄격한 체제가있는 동안, 증거가 더 많은 행동이 필요하다는 것을 보여 주면 ... 우리는 그것을 망설이지 않을 것입니다."""	"""우리가 이미 해당 제품에 대한 가장 엄격한 체제가있는 동안, 증거가 더 많은 행동이 필요하다는 것을 보여 주면 ... 우리는 그것을 망설이지 않을 것입니다."""	0.0
272	이번 주 유엔에서 기후 변화 문제가 세계 지도자의 의제 1위를 차지한 이후 처음으로 전 세계 어린이들이 기후 변화에 대한 조치를 요구하는 학교 파업의 또 다른 물결을 시작했습니다.	전 세계의 어린이들은 이번 주에 세계 지도자의 의제를 탑승 한 이래로 기후 변화에 대한 조치를 요구하는 또 다른 학교의 또 다른 물결을 시작했습니다.	0.7391
273	불과 1년 전 스웨덴 십대 그레타 툰베리(Greta Thunberg)의 단독 시위로 시작된 미래를 위한 금요일(Fridays for Future) 운동은 수백만 명의 학생들이 뉴욕과 같은 도시의 거리로 나와 아프리카 전역의 개발 도상국에서 관심을 끌면서 급증했습니다.	1 년 전에 스웨덴 하이틴 그레타 Thunberg의 고독한 시위로 시작된 미래의 운동을위한 금요일은 뉴욕과 같은 도시의 거리에 수백만 명의 학생들과 아프리카 전역의 개발 개발에 관심을 끌고 있습니다.	0.7407
274	최초의 시위 중 일부는 뉴질랜드에서 시작되었으며, 툰베리는 주최측 추산 170,000명이 뉴질랜드 전역에서 행진했다고 말했습니다.	Thunberg가 주최자가 170,000 명이 국가를 가로 질러 행진 한 뉴질랜드에서 첫 번째 시위가 시작되었습니다.	1.0
275	이탈리아, 핀란드, 나이지리아, 오스트리아, 인도 등의 도시에서도 행진이 있었습니다.	이탈리아, 핀란드, 나이지리아, 오스트리아, 인도의 도시에서 다른 나라들 중에서도 행진이있었습니다.	0.6
276	금요일 시위는 툰베리토 세계 지도자들이 행동하지 않는 것에 대해 질책하는 가혹한 연설을 포함하여 뉴욕에서 열린 유엔에서 일주일간의 기후 회담에 뒤이어 일어났다.	금요일의 항의 시위는 뉴욕의 유엔에서 일주일의 기후 회담을 추적했으며, 이는 Thunberg가 비 활동을 위해 Thunberg에 의해 세계 지도자들에게 비공식적 인 연설을했습니다.	1.0
277	"""당신은 당신의 공허한 말로 내 꿈과 어린 시절을 훔쳤습니다.""라고 그녀는 화요일에 말했습니다."	"""당신은 내 꿈과 어린 시절을 당신의 빈 말로 도난당했습니다.""라고 화요일에 말했습니다."	0.4545
278	"""미래의 모든 세대의 눈이 당신을 바라보고 있으며 당신이 우리를 실망시킨다면 절대 용서하지 않을 것입니다."""	미래의 모든 세대의 눈은 당신에게 있으며 우리가 실패하기로 선택하면 우리가 당신을 결코 용서하지 않을 것이라고 말합니다.	0.6875
279	작년에 발표된 유엔 지원 보고서를 인용하면서 시위대는 정부에 지구 온도가 2.7도 이상 상승하는 것을 방지하기 위한 조치를 시행할 것을 요구하고 있습니다.	작년에 발표 된 U.n. 백업 된 보고서를 인용 한 시위자들은 지구 온도가 2.7도 이상 상승하는 것을 방지하기위한 조치를 취할 수있는 조치를 이행하고 있으며, 과학자들은 인간의 삶과 행성에 대한 불이익을 초래한다고 경고합니다.	0.7097
280	Thunberg와 그녀가 영감을 준 젊은이들은 기후 변화의 원인이 되는 온실 가스 배출량이 감소하는 것을 볼 때까지 매주 수업을 중단하지 않을 것이라고 말합니다.	Thunberg와 젊은이들은 기후 변화에 대한 책임이있는 온실 가스 배출량 감소를 볼 때까지 매주 교실을 멈추지 않을 것이라고 말한다.	0.6667
281	나이지리아의 수도 아부자에서 올라도수 아데니케는 금요일 46번째 연속 파업을 기록했다.	나이지리아의 수도 abuja에서는 Oladosu Adenike는 금요일에 46 번째 연속 파업을 표시했습니다.	0.6364
282	"활동가는 자신의 트위터에 ""기후변화는 현실이다"", ""시간이 없다""는 현수막을 들고 파란색 교복을 입은 학생들의 사진을 올렸다."	"활성 주의자들은 메시지가있는 배너를 들고있는 파란색 학교 유니폼을 입은 파란색 학교 유니폼을 입은 학생들의 트위터에 게시 된 이미지, ""기후 변화는 진짜""와 ""시간이 없습니다."""	0.8696
283	지역 보고서에 따르면 수백 명의 기후 파업 조직가들이 이번 주 행사를 계획하기 위해 8월에 모인 스위스 로잔에서는 수천 명의 사람들이 도시를 행진했다고 합니다.	수백 명의 기후 파업 주최자 가이 주 사건을위한 8 월 계획에 모인 한 스위스에서는 현지 보고서에 따라 수천 명의 사람들이 도시를 통해 행진 한 수백 명의 기후 스트라이드 주최자가 모여 있습니다.	0.7419
284	수천 명이 더 많은 사람들이 핀란드 헬싱키의 거리로 행진할 것으로 예상되었으며, 지역 언론은 이 도시의 학교가 학생들의 참여를 허용할 것이라고 보도했습니다.	핀란드 인 헬싱키 (Helsinki)의 거리까지 수천 명의 수천 명이 예상되었으며, 현지 언론은 도시의 학교가 학생들이 참여할 수 있다고보고했다.	0.8889
285	유엔 방문 후 북미에 남아 있는 툰베리는 캐나다 몬트리올에서 기후 파업에 참가할 예정이었다.	북미 지역에 남아있는 Thunberg는 미국을 방문하여 캐나다 몬트리올의 기후 공격에 참여할 예정이었습니다.	0.9167
286	남자가 문앞에 alight를 설정했다.	남자가 문앞에 alight를 설정했다.	0.0
287	한 남자가 경찰이 목표 공격이라고 믿는 것에 대해 그의 문앞에 배치되었다.	한 남자가 경찰이 목표 공격이라고 믿는 것에 대해 그의 문앞에 배치되었다.	0.0
288	48 세의 웨스트 랭커 샤르 (Skelmersdale), Skelmersdale, Skelmersdale, West Lancashire에서 가정 외부의 화염에 파열하기 전에 가솔린으로 믿었습니다.	48 세의 웨스트 랭커 샤르 (Skelmersdale), Skelmersdale, Skelmersdale, West Lancashire에서 가정 외부의 화염에 파열하기 전에 가솔린으로 믿었습니다.	0.0
289	그는 심각한 화상을 입은 후에 비판적이지만 안정된 상태로 병원에 있습니다.	그는 심각한 화상을 입은 후에 비판적이지만 안정된 상태로 병원에 있습니다.	0.0
290	경찰은 목요일 오전 1시에 남자의 집에 부름을받은 후에 살인적인 탐구를 시작했습니다.	경찰은 목요일 오전 1시에 남자의 집에 부름을받은 후에 살인적인 탐구를 시작했습니다.	0.0
291	"조사를 주도하는 Pauline Stables는 다음과 같이 말했습니다. ""이는 병원에서 매우 가난한 상태에서 남자를 남긴 끔찍한 사건입니다."	"조사를 주도하는 Pauline Stables는 다음과 같이 말했습니다. ""이는 병원에서 매우 가난한 상태에서 남자를 남긴 끔찍한 사건입니다."	0.0
292	"""우리는 책임있는 사람들을 식별하기 위해 많은 문의를 수행하고 있습니다."	"""우리는 책임있는 사람들을 식별하기 위해 노력할 수있는 여러 문의를 수행하고 있습니다."""	0.3636
293	"""우리가 일어난 일을 위해 동기를 구축하려고하는 동안, 우리는 사건이 목표를 달성했다고 믿습니다. 나는이 시점에서 더 넓은 지역 사회에 위협이 있는지 믿지 않는다는 것을 강조하고 싶습니다."	"""우리가 일어난 일을 위해 동기를 수립하려고하는 동안, 우리는 사건이 목표를두고 있으며, 이번에는 더 넓은 공동체에 위협이 없다고 생각하지 않는다고 믿고 싶습니다."""	0.6667
294	"""누군가 누군가 누가이 일을했는지 ​​알고 나는 그들이 앞으로 나아가 우리에게 말하기를 촉구 할 것입니다."	"""누군가 가이 일을했는지 ​​알고 있고 나는 그들이 앞으로 나아가 우리에게 말하기를 촉구 할 것입니다."""	0.2857
295	"""사랑하는 사람이 의심스럽게 행동하고, 연기 나 가솔린의 냄새가 나거나 설명 할 수없는 부상을 입을 수 있습니까?"	"""사랑하는 사람이 의심스럽게 행동하고, 연기 나 가솔린의 냄새가 나거나 설명 할 수없는 부상을 입을 수 있습니까?"""	0.0625
296	"""우리는이 무서운 범죄에 대한 책임자를 찾아야합니다."""	"""우리는이 무서운 범죄에 대한 책임자를 찾아야합니다."""	0.0
297	다음 대규모 노동 파업이 오리건 주를 강타하다	다음 큰 노동 스트라이크가 오레곤에 안타	0.8333
298	주립대 노동자들의 가장 시급한 불만은 낮은 임금과 직장에서의 존엄성 부족이다.	주립 대학 노동자들은 최저 임금과 직장에서의 존엄성이 부족한 중심지를 가장 잘 압니다.	0.9167
299	급여 격차만 해도 충격적이다.	유료 불균일만으로 충격적입니다.	1.3333
300	이들 근로자의 약 절반은 연간 $40,000 미만을 벌고 있습니다(수백명은 $25,000 미만).	이 근로자의 약 절반은 연간 4 만 달러 미만을 벌고 수백 달러는 25,000 달러 미만으로 만듭니다).	0.625
301	한편, 대학 총장의 연봉은 평균 $500,000이고 4명의 대학 운동 코치는 멋진 $100만 달러를 받고 있습니다.	한편, 대학 총장의 연봉은 평균 $500,000에 달하고 4명의 대학 운동 코치는 멋진 $100만 달러를 삭감하고 있습니다.	0.1875
