	Ref	Google Before	Google After	TER
216	더 후, 지난밤 콘서트 중단해: 금요일, 일요일 공연 모두 취소	기후에 대한 행동을 요구하기 위해 행진하는 전 세계 학교 파업	세계 전세계의 학교 스트라이커 기후에 대한 조치를 요구하는 행진	1.0
217	록계의 전설적인 밴드 더 후가 대규모 미국 투어 중이다.	어제 밤 Who STOP 콘서트: 금요일과 일요일은 CANCELED를 보여줍니다.	어젯밤 콘서트를 멈추는 사람 : 금요일과 일요일 쇼가 취소되었습니다.	0.8889
218	로저 돌트리는 텍사스 휴스턴에서 열린 콘서트를 절반도 하지 않고 도중에 취소해야 했다.	록의 전설 The Who가 미국 주요 투어를 하고 있습니다.	록 전설은 누가 주요 미국 여행에 있습니다.	1.0
219	향년 75세인 그는 실망한 관중에게 이렇게 말했다. “할 수 있을 때 그만둬야겠다.”	텍사스주 휴스턴에서 로저 달트리는 공연을 반도 채 안 되어 취소해야 했다.	텍사스의 휴스턴에서 Roger Daltrey는 중간보다 적은 콘서트를 끊을 수있었습니다.	1.1111
220	이 밴드는 이미 8곡이나 연주했지만 나중에 다른 공연으로 돌아올 수 있도록 노력하겠다고 약속했다.	"75세의 그는 실망한 청중에게 ""내가 앞서 있는 동안 그만둬야 한다고 생각합니다.""라고 말했습니다."	"75 세의 노인들은 실망한 관객에게 ""내가 앞으로 나아가는 동안 나는 그만둬야한다고 생각합니다."""	0.8333
221	무대에서 이 모든 일이 어떻게 벌어졌는지는 영상을 통해 확인할 수 있다.	밴드는 이미 8곡을 연주했지만 언젠가는 다른 공연을 위해 노력하고 돌아올 것을 약속했습니다.	밴드는 이미 8 곡을 수행했지만 미래에 언젠가 다른 쇼 쇼를 위해 노력하고 반환 할 것을 약속했습니다.	0.5625
222	돌트리는 대표적인 1982년 트랙인 에미넌스 프론트를 연주한 후 공연 중단을 요청했다.	무대에서 모든 것이 어떻게 전개되었는지 비디오를보십시오.	무대에서 어떻게 전개되는지에 대한 비디오를보십시오.	0.8
223	그는 성대에 이상이 생겨 문제를 겪고 있었고 주치의의 엄격한 주의를 받은 상태였다.	1982년 클래식 트랙 Eminence Front를 연주한 후 Daltrey는 그만뒀습니다.	클래식 1982 년 트랙 프론트를 재생 한 후 Daltrey는 그만 둔다고 불렀습니다.	0.75
224	영국의 스타인 돌트리는 관중들에게 공연을 계속할 수 없다고 다음과 같이 말했다.	그는 보컬 문제로 어려움을 겪었고 분명히 외과 의사의 엄격한 지시를 받고 있습니다.	그는 보컬 문제로 고생하고 외과 의사의 엄격한 지침을 받았습니다.	0.6667
225	여러분을 위해 공연을 계속하면 내가 다칠 것이다.	영국 스타는 군중에게 쇼를 계속할 수 없다고 말했습니다.	영국 스타는 그가 쇼와 함께 갈 수 없었던 군중들에게 말했다 :	0.7273
226	할 수 있을 때 그만해야겠다…	"""내가 당신을 위해 하는 일을 계속 하면 나 자신을 손상시킬 것입니다."	내가 당신을 위해하고있는 일을하려고 노력하고 있다면 나는 자신을 손상시킬 것입니다.	0.7
227	"지난번에는 결국 한 달 간 병원에 입원했다. 또 가고 싶지 않다. 죄송하다."""	내가 앞서 있는 동안 그만둬야 할 것 같아...	내가 앞으로 내가 그만둬야 할 것 같아.	0.5714
228	"피트 타운젠드는 관중들에게 무슨 일인지 다음과 같이 설명했다. ""돌트리가 더 이상 연주할 수 없는 모양이다… 유감스럽지만”"	"지난번에 한 달 동안 병원에 입원했고 다시는 가지 않을 것입니다. 죄송합니다."""	마지막으로, 나는 한 달 동안 병원에서 끝났고 나는 거기에 다시 가지 않을 것입니다. 죄송합니다.	0.5714
229	더후는 무대를 떠났고 처음에는 로저 없이 나머지 무대를 진행해보겠다고 제안하긴 했었다.	Pet Townshend는 청중에게 무슨 일이 일어나고 있는지 설명했습니다.	"Pete Townshend는 청중에게 무슨 일이 일어나고 있는지 설명했습니다. ""그는 더 이상 할 수없는 것처럼 들리며 두려워합니다 ..."""	0.5882
230	"로저가 돌아오자 타운젠드는 이렇게 말했다. ""정말 정말 죄송하다."	밴드는 원래 로저 없이 나머지 세트를 해결하려고 할 것이라고 제안하면서 무대를 떠났습니다.	밴드는 무대를 떠났습니다. 원래는 Roger가없는 세트의 나머지 부분을 운동하려고 노력할 것이라고 제안합니다.	0.6667
231	로저는 사실 지금 말을 할 수 없는 상태다.”	"그가 돌아왔을 때 Townsend는 ""정말, 정말 죄송합니다."	"그가 돌아 왔을 때, 타운센드는 ""나는 정말로 정말로 미안해."	0.8889
232	“로저가 공연 전에 분명히 병원에 갔었고, 알다시피 투어 내내 존X 노래를 잘했다.	로저는 이제 실제로 말을 할 수 없습니다.	"Roger는 실제로 지금 말할 수 없습니다. """	0.7143
233	어떻게 된 일인지 존X 모르겠다.	"""분명 공연 전에 그는 의사를 만났고 이번 투어를 통해 노래를 정말 잘 불렀습니다."	"""분명히 쇼 앞에서, 그는 의사를 보았고, 당신도 알고 있으며, 그는이 투어를 통해 그렇게 훌륭하게 노래하고 있습니다."	0.75
234	로저는 항상 자기가 하는 일에 최고였다.”	무슨 일이 일어나고 있는지 모르겠습니다.	나는 f ***가 무슨 일이 일어나고 있는지 모른다.	0.5
235	“여러분에게 오늘 밤에 이런 일이 벌어져 정말 죄송하다…	그는 그의 게임의 정상에 있었다.	"그는 그의 게임의 맨 위에 왔습니다. """	0.5714
236	어떤 괜찮은 걸로 공연을 메꾸려는 게 의미가 없는 것 같다. 왜냐하면 이건 로저가 주인공이고 그의 컨디션이 좋지 않기 때문이다.”	"""오늘 밤 이런 일이 일어나서 정말 죄송합니다..."	"""나는 오늘 밤에 너에게 일어난이 일이 정말로 미안해 ..."	0.8889
237	타운젠드(74)가 그간 있었던 에피소드와 자신들이 얼마나 다시 돌아와서 공연에 최선을 다하고 싶은지 설명하자 관중들은 그를 응원하며 매우 협조적인 모습을 보였다.	"이것은 로저의 쇼이고 그의 몸 상태가 좋지 않기 때문에 의미가 있는 것을 조합하려고 하는 것은 별로 의미가 없다고 생각합니다."""	"나는 이것이 로저스의 쇼이기 때문에 어떤 의미가 있기 때문에 어떤 의미가 있기 때문에 어떤 의미가 있기 때문에 어떤 의미가 있는지 생각하지 않으며 좋은 모양이 아닙니다. """	0.8846
238	"타운젠드는 이렇게 말했다. ""가능한한 빨리 공연 날짜를 발표하겠다."	관중들은 74세의 노인이 무슨 일이 있었는지, 그리고 어떻게 밴드가 공연에 대한 그들의 약속을 존중하기 위해 돌아오기를 희망하는지 설명할 때 완전히 지지했습니다.	군중은 완전히지지했고, 74 세의 일이 일어난 일과 밴드가 쇼에 대한 그들의 헌신을 존중하기 위해 어떻게 되돌아 갔는지를 희망하는 것처럼 74 세의 응원했습니다.	0.7273
239	한 가지만 설명하겠다…	"타운센드가 말했다. ""최대한 빨리 복귀 날짜를 공개할 것입니다."	"타운센드는 말했다; ""우리는 가능한 한 빨리 돌아 오는 날짜를 게시 할 것입니다."	0.75
240	우리는 하루 공연하고 하루는 쉰다.	한가지 설명하자면...	한 가지를 설명하겠습니다 ...	1.0
241	"그 이유는 로저의 성대 담당의가 하루는 쉬어야 한다고 했기 때문이다…"""	우리는 하루만 쉬고 있습니다.	우리는 하루 만에 하루 만 일합니다.	0.8333
242	“여러분에게 우리가 꼭 돌아와서 여러분의 티켓이 의미가 있도록 하겠다고 맹세한다.	로저의 성대 외과 의사가 쉬는 날이라고 해서...	"이것은 Roger의 보컬 외과 의사가 하루를 보내고 있다고 주장하기 때문입니다 ... """	0.8333
243	"정말 사랑하고 실망시켜 죄송하다."""	"""장담컨데 우리는 돌아올 것이고 당신의 티켓을 존중할 것입니다."	"""나는 당신에게 우리가 돌아올 것이고 우리는 당신의 티켓을 존중할 것입니다."	0.4
244	공연이 끝난 후 댈러스와 덴버에서 열릴 예정이던 금요일과 일요일 밤 콘서트는 취소되었다.	"많이 사랑하고 실망시켜드려 죄송하다""고 말했다."	"나는 너를 너무 사랑해. 그리고 너를 실망 시켜서 미안해. """	1.0
245	다음 공연은 10월 9일 샌프란시스코에서 열린다.	쇼가 끝난 후 댈러스와 덴버에서 예정된 금요일과 일요일 밤 콘서트는 취소되었습니다.	쇼를 따르면 Dallas와 Denver의 다가오는 금요일과 일요일의 밤 콘서트가 취소되었습니다.	0.8
246	더후는 2020년 3월 16일 맨체스터에서 영국 투어를 시작할 예정이다.	그들의 다음 쇼는 10월 9일 샌프란시스코에서 열립니다.	그들의 다음 쇼는 샌프란시스코에서 10 월 9 일에 있습니다.	0.6667
247	미국 내 사망 사건의 여파로 스코틀랜드, 베이핑 및 전자담배 광고 금지해	밴드는 2020년 3월 16일 맨체스터에서 영국 투어를 시작합니다.	밴드는 맨체스터 N 3 월 16 일 2020 년 3 월 16 일에 영국 투어를 열 것입니다.	0.8235
248	정부 부처에서 전자담배 및 베이핑에 대한 광고 금지를 고려하고 있다.	미국 사망자는 스코틀랜드 금지가 vaping 및 전자 담배 광고에 이어질 수 있습니다.	미국 사망자는 스코틀랜드 금지가 vaping 및 전자 담배 광고에 이어질 수 있습니다.	0.0
249	여당 대표는 해당 조치에 대한 논의가 “향후 수개월” 내에 진행될 것이라 밝혔다.	전자 담배 및 vaping 제품에 대한 광고 금지는 장관이 고려하고 있습니다.	전자 담배 및 vaping 제품에 대한 광고 금지는 장관이 고려하고 있습니다.	0.0
250	니컬라 스터전 대표는 이 제품들의 판매 추이에 대한 정보가 입수되면 스코틀랜드 정부가 “망설임 없이” 행동할 것이라고 말했다.	"첫 번째 장관은 ""앞으로의 개월""에서 움직임에 대한 상담이 일어날 것이라는 것을 확인했습니다."	"첫 번째 장관은 ""앞으로의 개월""에서 움직임에 대한 상담이 일어날 것이라는 것을 확인했습니다."	0.0
251	이와 같은 조치는 베이핑 관련 질환으로 인한 사망자가 2명 추가 발생하여 총 11명의 사망자가 발생했기 때문이다.	"니콜라 철갑 상어론은 증거가 그러한 제품의 판매를 통해 더 많은 움직임을 지원한다면 그녀의 정부는 ""주저하지 않겠다""라고 말합니다."	"니콜라 철갑 상어론은 증거가 그러한 제품의 판매를 통해 더 많은 움직임을 지원한다면 그녀의 정부는 ""주저하지 않겠다""라고 말합니다."	0.0
252	베이핑은 보통 니코틴, 물, 용제 및 향을 섞은 혼합물을 흡입하는 행위로, 금연을 도와주는 흡연 대체품으로 여겨지고 있으나 그 안전성이 완전히 확인되지는 않았다.	그것은 vaping 관련 질병이 두 명의 삶을 보장했고, 총 사망자를 11로 가져 오는 것이 었습니다.	그것은 vaping 관련 질병이 두 명의 삶을 보장했고, 총 사망자를 11로 가져 오는 것이 었습니다.	0.0
253	그러나 미국의 경우, 전자담배를 피운 후 원인을 알 수 없는 폐질환을 앓고 있는 사람의 수가 500명을 넘고 있다.	일반적으로 니코틴, 물, 용제 및 맛으로 만들어진 믹스를 흡입하는 것이 포함 된 vaping은 흡연에 도움이되는 대안으로 볼 수 있지만 그 안전은 여전히 ​​완전히 알려져 있지 않습니다.	일반적으로 니코틴, 물, 용제 및 맛으로 만들어진 믹스를 흡입하는 것이 포함 된 vaping은 흡연에 도움이되는 대안으로 볼 수 있지만 그 안전은 여전히 ​​완전히 알려져 있지 않습니다.	0.0
254	미 당국에서는 지난주에만 수백 건의 추가 사례가 보고되었다고 말했다.	그러나 미국에서는 흡연 전자 담배 후에 500 명이 넘는 사람들이 신비한 폐 질환으로 아프다고 알려져 있습니다.	그러나 미국에서는 흡연 전자 담배 후에 500 명이 넘는 사람들이 신비한 폐 질환으로 아프다고 알려져 있습니다.	0.0
255	지난 화요일과 수요일, 플로리다주와 조지아주에서 각각 최초 사망자가 발표되었다.	당국자들은 지난 주에 수백 가지의 추가 사례가 단독으로보고되었다고 말했다.	당국자들은 지난 주에 수백 가지의 추가 사례가 단독으로보고되었다고 말했다.	0.0
256	현재 미국 내에서 발병 사례가 기록된 곳은 38개 주로, 그 중 8개 주에서 사망자가 발생했다.	플로리다와 조지아의 첫 번째 사망은 화요일과 수요일에 발표되었습니다.	플로리다와 조지아의 첫 번째 사망은 화요일과 수요일에 발표되었습니다.	0.0
257	대부분의 환자들이 대마초에 들어 있는 향정신성 화합물인 THC가 함유된 제품을 사용한 이력이 있다고 밝혔으나, 지난 수요일 조지아주에서 사망한 환자의 경우에는 ‘과도한 니코틴 베이핑’ 이력만 보고되었다.	현재 38 명의 주정부는 질병의 사례를 기록하고 8 개 주에서 잃어버린 것입니다.	현재 38 명의 주정부는 질병의 사례를 기록하고 8 개 주에서 잃어버린 것입니다.	0.0
258	미국 질병통제예방센터에서는 현재 100여 명의 담당자들이 정체불명의 이 질환의 원인을 조사하고 있으며, 시민들에게 더 많은 사실이 밝혀질 때까지 전자담배 제품, 특히 변형 제품이나 “길거리에서 구입한” 제품의 사용을 삼가라고 경고했다.	"대부분의 환자는 THC가 들어있는 제품을 사용한 역사를보고했지만, 수요일에 조지아에서 사망 한 환자는 ""무거운 니코틴 vaping""만보 고 한 대마초에있는 환자를보고했습니다."	"대부분의 환자는 THC가 들어있는 제품을 사용한 역사를보고했지만, 수요일에 조지아에서 사망 한 환자는 ""무거운 니코틴 vaping""만보 고 한 대마초에있는 환자를보고했습니다."	0.0
259	여당 대표는 베이핑 관련 사망 사고 이후 스코틀랜드 정부가 미국 및 타국의 진행 상황을 “면밀히” 모니터링하고 있다고 밝혔다.	"질병 통제 및 예방 센터 (CDC)는 수수께끼 질환의 원인을 조사한 100 명이 넘는 관리가 있으며, 특히 수정되거나 구입 한 경우 ""거리에서 구입 한 경우"""	"질병 통제 및 예방 센터 (CDC)는 수수께끼 질환의 원인을 조사한 100 명이 넘는 관리가 있으며, 특히 수정되거나 구입 한 경우 ""거리에서 구입 한 경우"""	0.0
260	그녀는 유럽 내에서는 아직까지 베이핑으로 인한 사망 사건은 보고된 바 없다는 사실을 지적했다.	"첫 번째 장관은 스코틀랜드 정부가 우리와 다른 곳에서 모니터리가있는 것으로 확인되었으며, ""Vaping에 기인 한 삶의 상실에 따라""가깝게 ""면밀히""가깝게되었습니다."	"첫 번째 장관은 스코틀랜드 정부가 미국과 다른 곳에서 개발을 모니터링하고있다. ""Vaping에 기인 한 삶의 상실에 따라""가깝게 ""가깝게""가깝게 """	0.3333
261	"우리의 접근 방식은 미연의 방지하는 것이고, 그게 바로 스코틀랜드가 이전부터 유럽에서 베이퍼를 가장 엄격하게 규제하고 있는 이유이다""라고 그녀는 말했다."	그녀는 데이트 할 것이라고 지적했다. 그들은 유럽에서보고되는 vaping에 기인 한 사망자의 사례를 보지 못했다는 것을 지적했다.	그녀는 데이트 할 것이라고 지적했다. 그들은 유럽에서보고되는 vaping에 기인 한 사망자의 사례를 보지 못했다는 것을 지적했다.	0.0
262	담배에 대한 유럽의 지침에 따르면, 전자담배 광고가 제한되어 있고, 액상 전자담배에 유해성이 알려진 성분을 첨가할 수 없다.”	"""우리의 접근 방식은 사전 예방 적이였습니다. 이는 스코틀랜드는 이미 증기 제품으로 유럽에서 가장 엄격한 규제적인 접근 방식을 이미 취한 이유입니다.""라고 그녀는 말했습니다."	"""우리의 접근 방식은 사전 예방 적이였습니다. 이는 스코틀랜드는 이미 증기 제품으로 유럽에서 가장 엄격한 규제적인 접근 방식을 이미 취한 이유입니다.""라고 그녀는 말했습니다."	0.0
263	“또한, 이에 따르면 액상 전자담배 내 니코틴 농도도 제한되어 있다.”	"""유럽의 담배 제품 지침은 전자 담배의 광고를 제한하고 E- 액체가 유해한 것으로 알려진 성분을 함유 할 수 없도록합니다."	"""유럽의 담배 제품 지침은 전자 담배의 광고를 제한하고 E- 액체가 해로운 것으로 알려진 성분을 함유 할 수 없도록합니다."""	0.1111
264	“우리 스코틀랜드는 소매 등록 제도 및 의무적 나이 인증 제도를 도입했으며, 모든 의회 구역 내 위치한 거래 규정을 관리하는 부서들을 재정적으로 지원하여 소매점들이 규정을 준수하는지 관리하고 있다.”	"""지침은 또한 e- 액체의 니코틴의 농도를 제한합니다."	"""지침은 또한 e-liquids의 니코틴의 농도를 제한합니다."""	0.5
265	“향후 수개월간 우리는 베이퍼의 광고 및 판촉 활동에 대한 전면 금지 조치를 도입하는 문제에 대해 논의할 예정이다.”	"""스코틀랜드에서는 소매 레지스터와 필수 연령 확인 제도를 도입했으며 모든 이사회 지역에서 소매 업체가 규정을 준수하는지 확인하기 위해 모든 협의회 지역에 거래 표준 부서를 지원했습니다."	"""스코틀랜드에서는 소매 레지스터와 필수 연령 확인 계획을 도입했으며 모든 이사회 지역에서 소매 업체가 규정을 준수하는지 확인하기 위해 모든 협의회 지역에서 거래 표준 부서를 지원했습니다."""	0.125
266	그녀는 또한 이렇게 말했다. “이러한 제품들이 비교적 처음이고, 그렇기 때문에 그 영향에 대해 지속적인 연구가 필요하다는 사실을 강조하고 우리 모두가 이를 기억해야 한다.	"""앞으로 몇 달 동안 우리는 증기 제품의 광고 및 홍보에 대한 완전한 금지를 도입 할 것입니다."""	"""앞으로 몇 달 동안 우리는 증기 제품의 광고 및 홍보에 대한 완전한 금지를 도입 할 것입니다."""	0.0
267	우리는 아직 그것이 어떤 영향을 주는지 완전히 이해하지 못하고 있으며, 그렇기 때문에 우리가 이 문제에 매우 신중하게 접근하고 있는 것이다.”	"그녀는 ""스트레스를받는 것이 중요하고, 우리 모두가 비교적 새로운 것을 기억하는 것이 중요하며, 그러므로 그 영향은 계속 연구되고 있습니다."	"그녀는 ""스트레스를받는 것이 중요하고, 우리 모두가 비교적 새로운 것을 기억하는 것이 중요하며, 그러므로 그 영향은 계속 연구되고 있습니다."	0.0
268	“그것이 아마도 스코틀랜드 국내에서 전자담배 사용률이 비교적 낮은 이유일 것이다.”	우리는 그 영향이 무엇인지 아직 완전히 이해하지 못합니다. 그래서 우리가 취한 접근 방식은 매우 신중했습니다.	"우리는 그 영향이 무엇인지 아직 완전히 이해하지 못합니다. 우리가 취한 접근 방식은 매우 신중했습니다. """	0.1333
269	“우리는 국민들을 잠재적 위험으로부터 보호하기 위해 필요한 모든 조치를 취하는 데 가장 타당한 증거를 찾고자 최선을 다할 것이다.	"""이유는 스코틀랜드에서 전자 담배 사용이 여전히 비교적 낮은 이유 일 것입니다."	"""이것은 아마도 전자 담배가 스코틀랜드에서 상대적으로 낮아지는 이유 일 것입니다."""	0.8
270	"“우리가 이미 해당 제품들에 대해 가장 엄격한 규제를 실시하고 있지만, 추가적인 조치가 필요하다는 증거가 확인될 경우... 망설임 없이 해당 조치를 취할 것이다""라고 말했다."	"""우리는 사람들이 잠재적 인 해를 입히는 것을 보장하는 데 필요한 모든 단계를 취할 수있는 최선의 증거를 따르고 있습니다."	"""우리는 사람들이 잠재적 인 해를 끼치는 것으로 보호되도록하는 데 필요한 모든 단계를 취할 수있는 최선의 증거를 따르고 있습니다."""	0.2222
271	전세계 기후 학교 파업 시위자들, 기후 행동 요구하며 행진해	"""우리가 이미 해당 제품에 대한 가장 엄격한 체제가있는 동안, 증거가 더 많은 행동이 필요하다는 것을 보여 주면 ... 우리는 그것을 망설이지 않을 것입니다."""	"""우리가 이미 해당 제품에 대한 가장 엄격한 체제가있는 동안, 증거가 더 많은 행동이 필요하다는 것을 보여 주면 ... 우리는 그것을 망설이지 않을 것입니다."""	0.0
272	전세계 어린이들이 기후 변화에 대한 행동을 촉구하기 위해 학교 파업의 물결을 다시 시작했다. 이는 이번 이슈가 이번 주 UN에 모인 세계 정상들의 핵심 어젠다로 부상한 이래 펼쳐진 그들의 첫 주요 행보이다.	이번 주 유엔에서 기후 변화 문제가 세계 지도자의 의제 1위를 차지한 이후 처음으로 전 세계 어린이들이 기후 변화에 대한 조치를 요구하는 학교 파업의 또 다른 물결을 시작했습니다.	전 세계의 어린이들은 이번 주에 세계 지도자의 의제를 탑승 한 이래로 기후 변화에 대한 조치를 요구하는 또 다른 학교의 또 다른 물결을 시작했습니다.	0.7391
273	바로 1년 전 그레타 툰베리라는 한 스웨덴의 십대 소녀의 1인 시위로 시작된 미래를 위한 금요일 운동이 우후죽순 번져, 수백만 명의 학생들이 뉴욕같은 대도시의 거리를 점령했고 아프리카의 여러 개발도상국가들이 주목하고 있다.	불과 1년 전 스웨덴 십대 그레타 툰베리(Greta Thunberg)의 단독 시위로 시작된 미래를 위한 금요일(Fridays for Future) 운동은 수백만 명의 학생들이 뉴욕과 같은 도시의 거리로 나와 아프리카 전역의 개발 도상국에서 관심을 끌면서 급증했습니다.	1 년 전에 스웨덴 하이틴 그레타 Thunberg의 고독한 시위로 시작된 미래의 운동을위한 금요일은 뉴욕과 같은 도시의 거리에 수백만 명의 학생들과 아프리카 전역의 개발 개발에 관심을 끌고 있습니다.	0.7407
274	뉴질랜드에서 최초의 시위가 시작되었는데, 툰베리에 따르면 17만 명으로 추산되는 인파가 뉴질랜드를 행진했다.	최초의 시위 중 일부는 뉴질랜드에서 시작되었으며, 툰베리는 주최측 추산 170,000명이 뉴질랜드 전역에서 행진했다고 말했습니다.	Thunberg가 주최자가 170,000 명이 국가를 가로 질러 행진 한 뉴질랜드에서 첫 번째 시위가 시작되었습니다.	1.0
275	또한 이탈리아, 핀란드, 나이지리아, 오스트리아, 인도를 위시한 많은 나라에서 행진이 이어졌다.	이탈리아, 핀란드, 나이지리아, 오스트리아, 인도 등의 도시에서도 행진이 있었습니다.	이탈리아, 핀란드, 나이지리아, 오스트리아, 인도의 도시에서 다른 나라들 중에서도 행진이있었습니다.	0.6
276	금요일에 벌어진 시위는 뉴욕에 위치한 UN에서 개최된 일주일간의 기후 회의에서 행동하지 않는 세계 정상들 향하여 신랄하게 비판한 툰베리의 연설이 있은 뒤였다.	금요일 시위는 툰베리토 세계 지도자들이 행동하지 않는 것에 대해 질책하는 가혹한 연설을 포함하여 뉴욕에서 열린 유엔에서 일주일간의 기후 회담에 뒤이어 일어났다.	금요일의 항의 시위는 뉴욕의 유엔에서 일주일의 기후 회담을 추적했으며, 이는 Thunberg가 비 활동을 위해 Thunberg에 의해 세계 지도자들에게 비공식적 인 연설을했습니다.	1.0
277	"툰베리는 “당신들은 의미없는 말들로 나의 꿈과 어린 시절을 빼앗아 갔다""라고 화요일 밝혔다."	"""당신은 당신의 공허한 말로 내 꿈과 어린 시절을 훔쳤습니다.""라고 그녀는 화요일에 말했습니다."	"""당신은 내 꿈과 어린 시절을 당신의 빈 말로 도난당했습니다.""라고 화요일에 말했습니다."	0.4545
278	“미래 세대가 모두 당신을 주시하고 있다. 만약 우리를 실망시킬 선택을 한다면 난 이 자리에서 우리가 절대 당신을 용서하지 않을 거라고 말할 것이다.”	"""미래의 모든 세대의 눈이 당신을 바라보고 있으며 당신이 우리를 실망시킨다면 절대 용서하지 않을 것입니다."""	미래의 모든 세대의 눈은 당신에게 있으며 우리가 실패하기로 선택하면 우리가 당신을 결코 용서하지 않을 것이라고 말합니다.	0.6875
279	지난해 공개된 UN 후원 보고서에 따르면, 시위자들은 지구 온도가 2.7도 이상 상승하지 않도록 정부가 적절한 조치를 취해야 한다고 요구하고 있다. 그렇지 않으면 인간의 삶과 지구 전체에 재앙을 초래할 결과를 초래한다고 과학자들은 말한다.	작년에 발표된 유엔 지원 보고서를 인용하면서 시위대는 정부에 지구 온도가 2.7도 이상 상승하는 것을 방지하기 위한 조치를 시행할 것을 요구하고 있습니다.	작년에 발표 된 U.n. 백업 된 보고서를 인용 한 시위자들은 지구 온도가 2.7도 이상 상승하는 것을 방지하기위한 조치를 취할 수있는 조치를 이행하고 있으며, 과학자들은 인간의 삶과 행성에 대한 불이익을 초래한다고 경고합니다.	0.7097
280	툰베리와 그녀의 영향을 받은 학생들은 기후 변화의 원인인 온실가스 배출량이 감소되기 전까지 매주 학교 수업을 거부할 것이라고 밝혔다.	Thunberg와 그녀가 영감을 준 젊은이들은 기후 변화의 원인이 되는 온실 가스 배출량이 감소하는 것을 볼 때까지 매주 수업을 중단하지 않을 것이라고 말합니다.	Thunberg와 젊은이들은 기후 변화에 대한 책임이있는 온실 가스 배출량 감소를 볼 때까지 매주 교실을 멈추지 않을 것이라고 말한다.	0.6667
281	나이지리아의 수도 아부자에서는 올라도수 아데니케가 미래를 위한 금요일 운동을 연속 46주째 이어나가고 있다.	나이지리아의 수도 아부자에서 올라도수 아데니케는 금요일 46번째 연속 파업을 기록했다.	나이지리아의 수도 abuja에서는 Oladosu Adenike는 금요일에 46 번째 연속 파업을 표시했습니다.	0.6364
282	환경 운동가인 아데니케는 “기후 변화는 현실이다” 혹은 “우리는 시간이 없다”라는 메시지를 적은 플래카드를 들고 있는 파란색 교복을 입은 학생들의 사진을 트위터에 게재했다.	"활동가는 자신의 트위터에 ""기후변화는 현실이다"", ""시간이 없다""는 현수막을 들고 파란색 교복을 입은 학생들의 사진을 올렸다."	"활성 주의자들은 메시지가있는 배너를 들고있는 파란색 학교 유니폼을 입은 파란색 학교 유니폼을 입은 학생들의 트위터에 게시 된 이미지, ""기후 변화는 진짜""와 ""시간이 없습니다."""	0.8696
283	지역 매체에 따르면, 지난 8월 수백 명의 기후 파업 주최자들이 이번 주에 있던 시위를 계획하기 위해 모였었던 스위스 로잔에서 수천 명이 도심을 행진했다.	지역 보고서에 따르면 수백 명의 기후 파업 조직가들이 이번 주 행사를 계획하기 위해 8월에 모인 스위스 로잔에서는 수천 명의 사람들이 도시를 행진했다고 합니다.	수백 명의 기후 파업 주최자 가이 주 사건을위한 8 월 계획에 모인 한 스위스에서는 현지 보고서에 따라 수천 명의 사람들이 도시를 통해 행진 한 수백 명의 기후 스트라이드 주최자가 모여 있습니다.	0.7419
284	지역 매체에 따르면, 추가로 수천 명이 핀란드 헬싱키의 거리를 점령할 것이며, 헬싱키 학교에서는 학생들이 시위에 참여하는 것을 허락할 예정이었다.	수천 명이 더 많은 사람들이 핀란드 헬싱키의 거리로 행진할 것으로 예상되었으며, 지역 언론은 이 도시의 학교가 학생들의 참여를 허용할 것이라고 보도했습니다.	핀란드 인 헬싱키 (Helsinki)의 거리까지 수천 명의 수천 명이 예상되었으며, 현지 언론은 도시의 학교가 학생들이 참여할 수 있다고보고했다.	0.8889
285	UN 방문 이후 아직 북미에 있는 툰베리는 캐나다 몬트리올에서 열릴 기후 시위에 참여할 예정이었다.	유엔 방문 후 북미에 남아 있는 툰베리는 캐나다 몬트리올에서 기후 파업에 참가할 예정이었다.	북미 지역에 남아있는 Thunberg는 미국을 방문하여 캐나다 몬트리올의 기후 공격에 참여할 예정이었습니다.	0.9167
286	한 남성이 표적 범죄로 문 앞에서 불에 휩싸여	남자가 문앞에 alight를 설정했다.	남자가 문앞에 alight를 설정했다.	0.0
287	한 남성이 몸에 불이 붙은 채 문앞 계단에 놓여 있었다. 경찰은 표적 범죄에 가능성을 두고 있다.	한 남자가 경찰이 목표 공격이라고 믿는 것에 대해 그의 문앞에 배치되었다.	한 남자가 경찰이 목표 공격이라고 믿는 것에 대해 그의 문앞에 배치되었다.	0.0
288	48세의 이 피해자 남성은 미국 웨스트 랭커셔의 스켈머스데일에 위치한 자신의 집 밖에서 불길에 휩싸이기 직전에 몸에 휘발유로 추정되는 인화성 액체가 뒤덮여 있었다.	48 세의 웨스트 랭커 샤르 (Skelmersdale), Skelmersdale, Skelmersdale, West Lancashire에서 가정 외부의 화염에 파열하기 전에 가솔린으로 믿었습니다.	48 세의 웨스트 랭커 샤르 (Skelmersdale), Skelmersdale, Skelmersdale, West Lancashire에서 가정 외부의 화염에 파열하기 전에 가솔린으로 믿었습니다.	0.0
289	이 남성은 심각한 화상을 입은 뒤 심각했지만 현재 안정된 상태로 병원에 입원 중이다.	그는 심각한 화상을 입은 후에 비판적이지만 안정된 상태로 병원에 있습니다.	그는 심각한 화상을 입은 후에 비판적이지만 안정된 상태로 병원에 있습니다.	0.0
